date,FL152000005.Q,LM152010005.Q,LM155035005.Q,LM155035015.Q,LM165035005.Q,LM165015205.Q,LM165013765.Q,LM155111005.Q,FL154090005.Q,LM153091003.Q,FL153020005.Q,FL153030005.Q,FL153034005.Q,LM154022005.Q,LM153061105.Q,LM153061705.Q,LM153062005.Q,LM153063005.Q,FL154023005.Q,FL153069005.Q,FL153065005.Q,FL163066223.Q,LM153064105.Q,LM153064205.Q,FL163070005.Q,FL153040005.Q,FL153050005.Q,LM152090205.Q,FL153090005.Q,FL154190005.Q,FL163162003.Q,FL154123005.Q,FL153165105.Q,FL153166000.Q,FL153168005.Q,FL153169005.Q,FL163165505.Q,FL163170005.Q,FL543077073.Q,FL152090005.Q,FL893131573.Q,FL154023205.Q,LM154023223.Q,FL154023213.Q,LM155012605.Q,LM155012665.Q,LM165012665.Q,LM165013665.Q,FA156012005.Q,FL152090006.Q,FL155035065.Q,FL155035066.Q
1945:Q4,837197,189324,134635,116049,18586,436,257,53996,647873,0,55449,50230,0,78843,66517,61,3869,8396,12883,694,12189,0,144855,1245,0,39560,61172,197385,6251,30584,0,29442,18706,6800,290,3330,316,504,638,806613,ND,ND,ND,ND,107881,102946,4935,9756,ND,ND,97343,83.88094684142044
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q4,922654,220712,158074,133422,24652,590,292,61756,701942,0,60651,56568,0,76489,65127,93,3817,7452,14444,733,13711,0,138515,1298,0,43360,69381,234182,7054,37441,0,36067,23100,9777,174,2602,414,671,703,885213,ND,ND,ND,ND,134947,129012,5935,13314,165324,535.4410689830411,110322,82.68651346854342
1947:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1947:Q4,1030660,280809,206381,177473,28908,768,310,73350,749851,0,60519,60047,0,76315,65065,148,4458,6644,15730,660,15070,0,136405,1413,0,46510,77939,267381,7592,46468,0,44913,28267,13298,156,2686,506,771,784,984192,ND,ND,ND,ND,161775,155026,6749,16169,174691,563.3900934947995,149206,84.07250680385185
1948:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1948:Q4,1092118,313676,229359,199326,30033,944,310,83063,778442,0,58145,62248,0,77229,65817,95,4629,6688,16922,654,16268,0,135486,1516,0,49353,86476,283080,7987,55109,0,53423,33422,16332,161,2787,721,851,835,1037009,ND,ND,ND,ND,177547,170531,7016,16812,194291,533.7400786453208,165904,83.23249350310546
1949:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1949:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
